prompt,status,response
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",ON_TIME,Everything’s looking good for carrier <MASKED_FLIGHT_NUM>. It will depart at <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,Boarding is currently happening for flight <MASKED_FLIGHT_NUM>.
Can you check if the airplane <MASKED_FLIGHT_NUM> is on schedule?,DEPARTED,plane <MASKED_FLIGHT_NUM> is already airborne and en route.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",CANCELLED,"We're sorry, but service <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to support to rebook your journey."
What’s the current status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Sadly, airplane <MASKED_FLIGHT_NUM> is cancelled. Please speak with customer support for further assistance."
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,CANCELLED,We're sorry to inform you that plane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for assistance.
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,ON_TIME,"Everything is timely for service <MASKED_FLIGHT_NUM>, departing at <MASKED_FLIGHT_TIME>."
Is service <MASKED_FLIGHT_NUM> expected to leave on time today?,DEPARTED,airline <MASKED_FLIGHT_NUM> is already en route.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,CANCELLED,We regret to inform you that airline <MASKED_FLIGHT_NUM> is cancelled. Please contact our customer service for further details.
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,DELAYED,There’s a delay for jet <MASKED_FLIGHT_NUM>. Updated departure time: <MASKED_FLIGHT_TIME>.
Can I get confirmation that flight <MASKED_FLIGHT_NUM> is on schedule?,CANCELLED,"Regrettably, airplane <MASKED_FLIGHT_NUM> has been cancelled. Please contact us for alternative travel arrangements."
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,CANCELLED,We regret that service <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer service for rebooking assistance.
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,CANCELLED,"Sadly, plane <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer support to help with your travel needs."
What’s the departure schedule for flight <MASKED_FLIGHT_NUM>?,DELAYED,The flight service <MASKED_FLIGHT_NUM> is delayed. It will depart at <MASKED_FLIGHT_TIME>.
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,DEPARTED,The flight airline <MASKED_FLIGHT_NUM> has already departed from the airport.
Can you tell me if service <MASKED_FLIGHT_NUM> is running on time?,BOARDING,The boarding gates are now open for carrier <MASKED_FLIGHT_NUM> at gate terminal gate.
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,DELAYED,A delay has occurred for airplane <MASKED_FLIGHT_NUM>. New schedule: <MASKED_FLIGHT_TIME>.
Can you check if the plane <MASKED_FLIGHT_NUM> is on schedule today?,DELAYED,There’s a delay for aircraft <MASKED_FLIGHT_NUM> and it will now leave at <MASKED_FLIGHT_TIME>.
Can you check the schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,There’s no change in schedule. service <MASKED_FLIGHT_NUM> is on time with departure at <MASKED_FLIGHT_TIME>.
Can you verify if plane <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,Boarding for service <MASKED_FLIGHT_NUM> is currently taking place at gate check-in gate.
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,DELAYED,We understand your concern. carrier <MASKED_FLIGHT_NUM> is delayed. It will now depart at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,CANCELLED,"Sadly, plane <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to our support team to explore your options."
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,DEPARTED,Flight airplane <MASKED_FLIGHT_NUM> is now en route to the destination.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,BOARDING,airplane <MASKED_FLIGHT_NUM> is in the middle of the boarding process.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,ON_TIME,Travel plans are intact; service <MASKED_FLIGHT_NUM> leaves at <MASKED_FLIGHT_TIME>.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,DELAYED,"Unfortunately, airplane <MASKED_FLIGHT_NUM> is delayed. We anticipate departure at <MASKED_FLIGHT_TIME>."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DEPARTED,The flight airplane <MASKED_FLIGHT_NUM> has left the airport.
Is aircraft <MASKED_FLIGHT_NUM> still leaving on time today?,BOARDING,jet <MASKED_FLIGHT_NUM> is actively boarding at gate flight gate.
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,DELAYED,We regret the delay with flight <MASKED_FLIGHT_NUM>. It will now depart at <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is running on time?,ON_TIME,"Everything is on track for airplane <MASKED_FLIGHT_NUM>, departing on time at <MASKED_FLIGHT_TIME>."
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",BOARDING,Passengers for service <MASKED_FLIGHT_NUM> are boarding now. Departure: <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,The gate for aircraft <MASKED_FLIGHT_NUM> is open for passengers to board.
Do you know the current departure time for service <MASKED_FLIGHT_NUM>?,CANCELLED,We apologize for the inconvenience. service <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service to explore your options.
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,BOARDING,aircraft <MASKED_FLIGHT_NUM> is actively boarding at this time.
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,DELAYED,airplane <MASKED_FLIGHT_NUM> will now leave at <MASKED_FLIGHT_TIME> due to delays.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> has already departed and is currently en route.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> has already departed from the airport and is en route.
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> is already on its way to its destination.
Is the flight <MASKED_FLIGHT_NUM> on time?,DELAYED,carrier <MASKED_FLIGHT_NUM> has been delayed. The updated time is <MASKED_FLIGHT_TIME>. Thank you for your patience.
"Has airplane <MASKED_FLIGHT_NUM> been delayed, or is it on time?",DELAYED,A delay has been reported for jet <MASKED_FLIGHT_NUM>. The new time is <MASKED_FLIGHT_TIME>.
Can you confirm that plane <MASKED_FLIGHT_NUM> is running as scheduled?,BOARDING,Flight flight <MASKED_FLIGHT_NUM> is now boarding at gate entry gate.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,ON_TIME,Your flight jet <MASKED_FLIGHT_NUM> will depart at <MASKED_FLIGHT_TIME> as scheduled.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,CANCELLED,"Due to unforeseen circumstances, jet <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for rebooking."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,Boarding is open for airline <MASKED_FLIGHT_NUM> at gate airside gate.
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,DEPARTED,airplane <MASKED_FLIGHT_NUM> has left the gate.
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,DELAYED,service <MASKED_FLIGHT_NUM> has a delay. It’s now expected to leave at <MASKED_FLIGHT_TIME>.
What’s the latest on flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,A delay affects aircraft <MASKED_FLIGHT_NUM>. Please expect departure at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,CANCELLED,"Unfortunately, flight <MASKED_FLIGHT_NUM> is no longer operating. Please contact customer support for information on alternatives."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,Your flight airline <MASKED_FLIGHT_NUM> has been delayed. The new departure time is <MASKED_FLIGHT_TIME>.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,DEPARTED,Flight airplane <MASKED_FLIGHT_NUM> is now in flight.
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,service <MASKED_FLIGHT_NUM> has taken off and is no longer at the airport.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",DELAYED,Bad news: jet <MASKED_FLIGHT_NUM> is delayed. It’s rescheduled for <MASKED_FLIGHT_TIME>.
Can you confirm that plane <MASKED_FLIGHT_NUM> is running as scheduled?,CANCELLED,"Unfortunately, carrier <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with our customer service team to arrange another flight."
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,"Rest assured, service <MASKED_FLIGHT_NUM> is still on time and departing at <MASKED_FLIGHT_TIME>."
Can you provide the current status of flight <MASKED_FLIGHT_NUM>?,ON_TIME,Stay on time! airline <MASKED_FLIGHT_NUM> departs promptly at <MASKED_FLIGHT_TIME>.
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,DEPARTED,carrier <MASKED_FLIGHT_NUM> has taken off and is en route.
Can you confirm if the aircraft <MASKED_FLIGHT_NUM> is running as planned?,DELAYED,flight <MASKED_FLIGHT_NUM> has been delayed. Please plan for departure at <MASKED_FLIGHT_TIME>.
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,We regret the delay with airline <MASKED_FLIGHT_NUM>. It will now depart at <MASKED_FLIGHT_TIME>.
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,CANCELLED,"Unfortunately, flight <MASKED_FLIGHT_NUM> is cancelled. Please speak with customer service for more details and rebooking options."
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,BOARDING,The flight aircraft <MASKED_FLIGHT_NUM> is now boarding passengers at gate gate.
Could you check if service <MASKED_FLIGHT_NUM> is on schedule?,ON_TIME,Good news! flight <MASKED_FLIGHT_NUM> is on time for departure at <MASKED_FLIGHT_TIME>.
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,DEPARTED,Flight flight <MASKED_FLIGHT_NUM> has left and is now en route.
Is the flight <MASKED_FLIGHT_NUM> on time?,ON_TIME,"Your flight, jet <MASKED_FLIGHT_NUM>, is scheduled to leave at <MASKED_FLIGHT_TIME> and is on time."
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,BOARDING,Please proceed to gate gate location to board carrier <MASKED_FLIGHT_NUM>.
Can you verify if plane <MASKED_FLIGHT_NUM> is departing on time?,ON_TIME,Your flight jet <MASKED_FLIGHT_NUM> is all set to depart at <MASKED_FLIGHT_TIME> on time.
Is the aircraft <MASKED_FLIGHT_NUM> currently running on time?,ON_TIME,airline <MASKED_FLIGHT_NUM> is ready to go and on time for <MASKED_FLIGHT_TIME>.
Do you know the current departure time for service <MASKED_FLIGHT_NUM>?,ON_TIME,The flight carrier <MASKED_FLIGHT_NUM> is on time for departure at <MASKED_FLIGHT_TIME>.
Is aircraft <MASKED_FLIGHT_NUM> still leaving on time today?,CANCELLED,"Sadly, aircraft <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to our support team to explore your options."
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,BOARDING,Passengers can now board aircraft <MASKED_FLIGHT_NUM>.
Is the aircraft <MASKED_FLIGHT_NUM> currently running on time?,CANCELLED,"Unfortunately, airline <MASKED_FLIGHT_NUM> is cancelled. Please contact customer support to help you book an alternative flight."
Can I get confirmation that flight <MASKED_FLIGHT_NUM> is on schedule?,ON_TIME,All systems are a go for jet <MASKED_FLIGHT_NUM>. Departure is on time at <MASKED_FLIGHT_TIME>.
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,The flight plan is intact. plane <MASKED_FLIGHT_NUM> leaves at <MASKED_FLIGHT_TIME>.
Could you check if service <MASKED_FLIGHT_NUM> is on schedule?,DELAYED,"Unfortunately, airplane <MASKED_FLIGHT_NUM> will be delayed. The updated departure time is <MASKED_FLIGHT_TIME>."
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,BOARDING,Please make your way to gate gate position for boarding carrier <MASKED_FLIGHT_NUM>.
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,CANCELLED,"We apologize, but aircraft <MASKED_FLIGHT_NUM> has been cancelled. Please speak with customer support to rebook your flight."
Can you check if the airplane <MASKED_FLIGHT_NUM> is on schedule?,CANCELLED,We're sorry to inform you that carrier <MASKED_FLIGHT_NUM> is cancelled. Please speak with customer support for next steps.
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,ON_TIME,Your journey is on track! airline <MASKED_FLIGHT_NUM> departs at <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DEPARTED,flight <MASKED_FLIGHT_NUM> has left for its destination.
Do you have any updates about service <MASKED_FLIGHT_NUM>?,DEPARTED,Flight airline <MASKED_FLIGHT_NUM> is no longer at the gate.
Is flight <MASKED_FLIGHT_NUM> still expected to depart as planned?,ON_TIME,We can confirm that airplane <MASKED_FLIGHT_NUM> will depart on time at <MASKED_FLIGHT_TIME>.
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,DEPARTED,jet <MASKED_FLIGHT_NUM> has already departed from the airport and is en route.
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,"Unfortunately, service <MASKED_FLIGHT_NUM> is delayed. The new departure time is <MASKED_FLIGHT_TIME>."
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,CANCELLED,"We apologize, but plane <MASKED_FLIGHT_NUM> is no longer scheduled to depart. Please contact support for rebooking options."
Can you check if airplane <MASKED_FLIGHT_NUM> is leaving as planned?,CANCELLED,We’re sorry to inform you that airplane <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer service for assistance.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,ON_TIME,"The flight airplane <MASKED_FLIGHT_NUM> is departing at <MASKED_FLIGHT_TIME>, as scheduled."
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,BOARDING,The gate for carrier <MASKED_FLIGHT_NUM> has opened for boarding.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,DELAYED,We regret the delay for jet <MASKED_FLIGHT_NUM>. Departure is now expected at <MASKED_FLIGHT_TIME>.
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,DELAYED,"Unfortunately, there has been a delay for airline <MASKED_FLIGHT_NUM>. Departure will be at <MASKED_FLIGHT_TIME>."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,Now boarding for airline <MASKED_FLIGHT_NUM> at gate boarding station.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,DEPARTED,service <MASKED_FLIGHT_NUM> is already on its way to its destination.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,The flight aircraft <MASKED_FLIGHT_NUM> has already left the airport and is now airborne.
What’s the current update for service <MASKED_FLIGHT_NUM>?,CANCELLED,"Sadly, service <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to our support team to explore your options."
What’s the current departure status of flight <MASKED_FLIGHT_NUM>?,ON_TIME,The flight plane <MASKED_FLIGHT_NUM> is departing at <MASKED_FLIGHT_TIME> without delay.
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,CANCELLED,"Sadly, plane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for assistance with rebooking your flight.We're sorry to inform you that plane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for further assistance."
Is flight <MASKED_FLIGHT_NUM> still expected to depart as planned?,CANCELLED,We’re sorry to announce that airline <MASKED_FLIGHT_NUM> has been cancelled. Please speak with customer service for rebooking.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,BOARDING,Boarding for airplane <MASKED_FLIGHT_NUM> is now active at gate terminal gate.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,ON_TIME,There are no issues with flight <MASKED_FLIGHT_NUM>. It will depart on time at <MASKED_FLIGHT_TIME>.
